cart_api_cpu_usage,cart_api_mem_usage,payment_api_cpu_usage,payment_api_mem_usage,auth_service_cpu_usage,auth_service_mem_usage,inventory_api_cpu_usage,inventory_api_mem_usage,frontend_cpu_usage,frontend_mem_usage,payment_api_net_rx_kbps,payment_api_net_tx_kbps
17.784184627021872,44.839335994282166,24.550421295902872,40.28673391175116,23.766880365362383,39.279371459557474,25.570066079277385,40.14592949268889,27.51667250034573,38.73979746556283,,
33.90493944294706,41.26318490679465,29.86309047057216,39.71585362143734,24.69452809939362,40.154047668713275,14.886932610196075,37.13962506417712,30.14713705699566,40.94971825706504,,
21.15741898330081,40.771366450828516,18.84181125197194,42.73935646935098,20.498625864924993,38.16014582432868,24.342560007701863,42.031268581187405,28.061036012442685,37.63321222378655,,
23.714059676118705,39.42826824048187,22.169025576920234,39.891479564505566,19.607125958805973,38.15327437609901,23.130706605017835,40.49615103870109,25.142215505640646,40.344669138231055,,
19.068728346816894,43.23257728129566,26.97814246274631,39.28142134159373,30.680606265242144,40.507919941891195,17.831711082808226,36.990065580160866,29.288362796461485,40.196785582286694,,
23.307954055440085,38.17030655297466,24.941748096758978,39.82154855497442,29.36320388647447,41.333415869995534,23.082176683258112,42.28796212861545,28.956733600246558,39.991897938158864,,
22.143383260050978,40.0107636088772,24.520318934099425,41.05414285613532,22.07796337199249,39.31507823682703,23.30614546606861,38.924873891792,29.612448170923827,41.31644991108492,,
33.76184348131248,36.91888557067085,27.685012141280872,35.87788980171696,24.9940778088447,40.04688154414268,27.106715280624247,39.536740496272074,23.394219904768196,39.68482704513279,,
24.28017646334243,39.56355560429973,21.03167371699194,39.610818694970924,27.582477759622904,35.27070710172099,16.485566472779567,41.43889043179979,19.99747985166623,42.724021596848154,,
32.75934893439609,37.88864395172038,29.14331249085795,38.31950053629693,18.778784875127855,38.371601308487065,21.895770997388293,38.37621752173739,23.64853989645465,37.74730599388322,,
27.664155665084746,43.59380254975718,27.54154020591016,40.97730257815575,33.499084935344946,38.75787589964248,22.25034714185203,40.12927023298722,22.032088263297716,41.22930496536623,,
19.421852699402198,39.451876715464984,24.485802229679198,42.48804257388442,28.760513892853254,41.9625050146424,27.75815610055762,39.98289974886247,26.03361302179644,40.67091143090157,,
21.844887754223276,35.88520174206828,24.76100830018631,41.84073305909287,27.756932359240494,40.105742683549295,19.05885631851862,39.81000030594433,23.155172304496013,40.02336012929987,,
26.690610571952377,39.3759945731682,28.17650174467145,39.2147875997965,23.045138893428813,40.55841155034093,16.054766083119013,39.520218033373126,30.473067519933906,37.98212481394821,,
30.505357658323998,41.083697128712025,24.177970532140428,39.75972526619073,25.21459416606136,40.43761996338961,17.243677376976038,41.24500482687841,24.803450993088205,37.258856838492186,,
17.03930548434609,38.09046926933927,36.68572324391217,40.65302460120315,23.851742656205403,40.96703168397344,23.13731251798831,36.854334360113185,24.207331508451905,40.33804785163763,,
19.69353395364858,43.82127831165193,29.511859692322282,40.62193703125118,26.767759256023837,38.58353105250323,19.67893535770656,38.41570872554192,34.76137403294974,37.48850136392011,,
29.68040503785775,39.04660765702574,23.01336882030088,39.097993193455665,28.397578810730458,39.45188996639053,26.302715230152433,40.736552096080224,24.878265105497114,39.65939828198921,,
19.26223154233325,39.950692286667554,26.072971991640767,38.583427672195896,23.86346437374352,38.88577417768947,21.007249107977316,41.197311971930624,31.053262228318406,42.44534099363605,,
19.277186860647085,41.45972638964143,45.61569630821976,39.368402524842004,19.76811944373869,36.95968030150835,27.269029944991708,40.34824132137376,28.940495278682356,40.83934986071393,,
17.563222950693344,39.4214378530406,20.169035140699243,40.27780933129477,21.100617986952557,41.81285491364623,27.04484536723975,38.57528061856182,25.07763943971103,39.922657994488596,,
25.11179066536738,45.313612145725976,25.561854135971263,40.948832276383975,23.986648794536542,38.1243243961493,24.936139256247763,37.20203412039793,26.79232369108756,40.75966621512701,,
26.014252133464325,40.84854528706777,26.178193432977697,42.17139285630325,29.875867221416843,39.20805768640574,24.308414694597353,40.10543968927698,19.410351559844248,43.59174992953625,,
27.642189955301163,45.626387122017704,24.135689416858025,42.43151172314194,25.88317752591943,40.63784517210963,18.40571095422556,44.22071661270891,31.19189089167752,41.10975395929974,,
20.942261496409742,39.69888829621815,26.551391436004394,40.28827337584628,23.738919823792678,40.07221520592774,28.328987465233755,41.01287933601196,18.871359641876133,42.00150976200759,,
24.08404552796163,41.9144622166763,21.978488206497587,33.6857155826806,23.637144500245753,39.34963707071763,29.508433645228124,42.04590911576729,27.320828285633674,41.82830376520562,,
23.140236885467413,40.93689876335004,25.479181594756298,39.34765548507486,21.707184445329897,40.21509985929109,18.64364146631226,40.129629178607686,22.7528913977443,38.788292775188864,,
31.771721491470885,41.10327547177448,26.21716519555199,39.3597370728104,24.461577041122144,38.17269675566097,33.26378627688638,41.982090874631865,21.91894897126354,38.03861461759767,,
29.99640934480579,39.43771141551952,30.01408462590583,40.44386173891193,32.09887662638471,38.726932841781334,25.125713575232243,39.246105997787524,19.48395429438408,40.25144144149918,,
21.513570213399376,43.61705694553801,24.536153994596827,42.273745520809065,33.05210121304435,41.28663031231198,21.162949279874862,37.31286245681352,27.57139244198977,37.79721646091757,,
