cart_api_cpu_usage,cart_api_mem_usage,payment_api_cpu_usage,payment_api_mem_usage,auth_service_cpu_usage,auth_service_mem_usage,inventory_api_cpu_usage,inventory_api_mem_usage,frontend_cpu_usage,frontend_mem_usage
15.312949677271993,44.36823972385414,26.34371278131352,36.81712191347875,25.224780354471278,40.55837163666844,28.021347745652886,40.53553871458738,25.93575619838501,37.84245602451412
24.584304330690316,40.136068361960234,29.099512699524272,40.77130474140896,26.32131834701543,40.161422346914215,26.97808756028533,41.509919001386386,31.284064404189113,40.63974762066489
18.93138494058234,39.75927932351883,27.946231343849032,40.11306803260774,26.970316299397965,34.74245268274597,32.31455619482255,43.62271645027895,21.748733284501217,40.704008588136354
21.47768927971346,45.1284330189785,16.288725364400552,34.68206176259587,38.73644930364769,41.08053723099788,22.677459518709817,39.093944290646654,28.09572735572521,38.16167418897067
27.173336557890494,39.270852983745634,22.328309426342287,41.948700741824354,23.62863921030391,39.47356723615079,26.701492314916486,42.05182655345129,25.774846393840214,40.21694203752058
24.316051502005273,39.39799315380967,24.602548833594955,39.238311517741444,22.44823033506272,37.47645857403756,25.10432056882123,39.81328742816663,19.97828311187692,42.7914895625845
27.331527059406472,39.91459808944177,28.999347396114405,40.682617711922965,33.91963823668489,41.439590296824484,27.787055767046766,38.84349300001014,25.703912479924377,41.07424172620202
23.94818857834854,41.40022300752318,30.2292909600701,38.959451541820776,28.092790016048042,39.384676105350216,23.57358146265624,41.15447083805477,28.380514883092285,38.90904470666063
15.719508900458415,39.5823106725913,27.007413737615142,39.803864403368266,27.46110580462518,38.49963556325956,18.730769937837543,39.713238967822676,31.743363450830707,38.985786958341556
25.83974950124294,38.97159549709316,29.197399841712116,37.95825350824834,24.21838320455202,37.774697087967425,18.85638353756637,35.32382652718316,31.594639562799195,37.05418999783986
28.12487532824205,40.14536065044101,22.777308301653242,40.03315820254034,24.77878770299079,42.30635135584396,22.7786868678444,41.148714445446295,21.91975230804548,39.062115010191825
27.582114516121365,39.789108569365126,32.685305247358166,41.750673198344806,25.042268103001717,35.0814140984505,23.36235992140695,36.82961687517686,19.979584193897782,41.11214799597061
19.55876509796319,40.565868903196325,26.55376202252715,43.19897578030695,18.150166273742254,38.34610320794366,29.396354131280802,40.048024009914435,13.103354017843403,40.141373739189255
24.20536822483653,41.97081043841721,36.70545433483201,40.15005899213998,28.318951998746858,36.23321829548624,26.432917339142044,41.522426033028715,22.913908199585446,37.33495422421392
